20011900 NAME Haldane J. B. S.
20011900 MARK SC2000  85
19972112 NAME Lee Geddy
20011900 MARK BI1000 100
20011900 MARK BI4000  80
19632001 NAME Clarke Arthur C.
19632001 MARK PH3800  90
19801963 NAME Wareham Harold Todd
20011900 MARK BC3250  65
20011900 MARK AN2000  70
19801963 MARK CS3724  80
19972112 MARK MU1000  90
19801963 MARK CS4753  95
19972112 MARK EN1000  85
19972112 MARK PH1000  80
19801963 MARK Lin4700  75
19632001 MARK EN3800  95
19751999 NAME Landau Martin
19801963 MARK LN1000  90
19801963 MARK CS2700  75
